,,,,,,,,,,,,,,,,,,
,,,,,,,Общая сумма счетов,Общая сумма оплат счетов,Остаток,,,,,,,,,
,38.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,39.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,40.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,41.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,42.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,43.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,44.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,45.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,46.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,47.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,48.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,49.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,50.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
